Keywords	Search Volume (Average)	Search Volume (Feb 2019)	Search Volume (Mar 2019)	Search Volume (Apr 2019)	Search Volume (May 2019)	Search Volume (Jun 2019)	Search Volume (Jul 2019)	Search Volume (Aug 2019)	Search Volume (Sep 2019)	Search Volume (Oct 2019)	Search Volume (Nov 2019)	Search Volume (Dec 2019)	Search Volume (Jan 2020)	Trend	total_volume
polythene bags	210.0	170.0	210.0	260.0	210.0	140.0	260.0	210.0	210.0	260.0	210.0	140.0	170.0	0.0	2660.0
plastic bag recycling	170.0	110.0	140.0	170.0	210.0	140.0	260.0	170.0	210.0	170.0	140.0	110.0	140.0	27.0	2140.0
baghban	140.0	90.0	170.0	70.0	90.0	110.0	140.0	170.0	140.0	170.0	170.0	170.0	170.0	89.0	1800.0
uses of plastic	110.0	110.0	140.0	170.0	140.0	90.0	170.0	110.0	140.0	140.0	110.0	50.0	110.0	0.0	1590.0
plastic alternatives	110.0	50.0	140.0	90.0	110.0	90.0	110.0	110.0	140.0	140.0	110.0	70.0	110.0	120.0	1380.0
no plastic	110.0	90.0	110.0	140.0	140.0	110.0	210.0	140.0	90.0	140.0	110.0	70.0	70.0	-22.0	1530.0
reduce plastic	90.0	50.0	70.0	110.0	70.0	70.0	110.0	110.0	110.0	110.0	90.0	50.0	90.0	80.0	1130.0
plastic ban	90.0	50.0	90.0	110.0	110.0	90.0	140.0	90.0	110.0	110.0	70.0	40.0	90.0	80.0	1190.0
plastic bags in the ocean	90.0	90.0	70.0	40.0	170.0	50.0	210.0	70.0	90.0	90.0	50.0	20.0	50.0	-44.0	1090.0
reduce plastic use	70.0	70.0	70.0	70.0	90.0	70.0	90.0	90.0	70.0	70.0	70.0	30.0	70.0	0.0	930.0
alternative to plastic bags	70.0	50.0	90.0	50.0	70.0	50.0	70.0	40.0	110.0	90.0	70.0	30.0	90.0	80.0	880.0
no plastic bags	70.0	70.0	70.0	70.0	50.0	50.0	110.0	50.0	90.0	70.0	110.0	50.0	90.0	29.0	950.0
what is plastic	70.0	70.0	70.0	70.0	70.0	70.0	110.0	70.0	90.0	70.0	70.0	40.0	70.0	0.0	940.0
small plastic bags	70.0	70.0	50.0	50.0	70.0	70.0	50.0	70.0	50.0	70.0	50.0	70.0	70.0	0.0	810.0
plastic bag storage	70.0	110.0	110.0	50.0	70.0	50.0	50.0	50.0	40.0	50.0	50.0	50.0	70.0	-36.0	820.0
plastic facts	70.0	50.0	90.0	40.0	70.0	70.0	110.0	50.0	90.0	50.0	50.0	30.0	70.0	40.0	840.0
the plastics	70.0	30.0	50.0	40.0	50.0	50.0	50.0	70.0	140.0	110.0	90.0	50.0	70.0	133.0	870.0
plastic pollution facts	70.0	50.0	70.0	90.0	90.0	70.0	90.0	70.0	90.0	70.0	40.0	30.0	50.0	0.0	880.0
big plastic bags	70.0	90.0	50.0	70.0	50.0	50.0	50.0	70.0	70.0	90.0	70.0	90.0	70.0	-22.0	890.0
plastic bag ban	70.0	70.0	90.0	70.0	90.0	50.0	110.0	70.0	50.0	50.0	70.0	20.0	140.0	100.0	950.0
how to reduce plastic use	50.0	50.0	40.0	50.0	90.0	50.0	90.0	70.0	40.0	20.0	40.0	20.0	40.0	-20.0	650.0
california proposition 65	50.0	40.0	50.0	50.0	50.0	50.0	50.0	50.0	70.0	70.0	70.0	50.0	50.0	25.0	700.0
hdpe bags	50.0	40.0	70.0	50.0	50.0	50.0	70.0	50.0	40.0	50.0	50.0	50.0	50.0	25.0	670.0
disposable plastic	50.0	50.0	40.0	70.0	70.0	40.0	70.0	50.0	70.0	70.0	40.0	20.0	40.0	-20.0	680.0
prop 65	50.0	40.0	50.0	50.0	50.0	30.0	50.0	50.0	50.0	50.0	50.0	50.0	40.0	0.0	610.0
where to buy plastic bags	50.0	40.0	20.0	10.0	70.0	30.0	30.0	50.0	50.0	70.0	50.0	70.0	70.0	75.0	610.0
proposition 65	40.0	40.0	50.0	50.0	40.0	30.0	40.0	40.0	50.0	40.0	50.0	50.0	50.0	25.0	570.0
plastic bags pollution	40.0	90.0	50.0	40.0	40.0	50.0	70.0	40.0	30.0	40.0	30.0	20.0	40.0	-56.0	580.0
plastic shopping bags	40.0	40.0	40.0	50.0	50.0	20.0	40.0	30.0	50.0	40.0	50.0	20.0	30.0	-25.0	500.0
how to store plastic bags	40.0	30.0	30.0	30.0	40.0	30.0	40.0	30.0	50.0	40.0	30.0	50.0	40.0	33.0	480.0
single use	30.0	20.0	20.0	30.0	30.0	30.0	30.0	30.0	40.0	40.0	50.0	10.0	30.0	50.0	390.0
plastic logo	30.0	20.0	30.0	20.0	30.0	30.0	30.0	40.0	30.0	40.0	30.0	10.0	30.0	50.0	370.0
one time use plastic	30.0	30.0	30.0	40.0	30.0	20.0	50.0	40.0	40.0	40.0	20.0	20.0	40.0	33.0	430.0
plastic bag charge	30.0	20.0	10.0	20.0	20.0	10.0	40.0	30.0	70.0	40.0	50.0	10.0	20.0	0.0	370.0
plastic campaign	30.0	40.0	20.0	20.0	20.0	20.0	20.0	20.0	40.0	50.0	10.0	20.0	10.0	-75.0	320.0
what is plastic pollution	30.0	10.0	20.0	30.0	30.0	20.0	70.0	40.0	20.0	30.0	30.0	10.0	20.0	100.0	360.0
plastic bags supermarkets	30.0	30.0	40.0	30.0	20.0	20.0	40.0	10.0	50.0	40.0	40.0	10.0	30.0	0.0	390.0
uses of plastic bags	20.0	30.0	30.0	30.0	30.0	20.0	30.0	20.0	20.0	30.0	20.0	10.0	30.0	0.0	320.0
how to reduce the use of plastic bags	20.0	10.0	30.0	20.0	10.0	10.0	30.0	30.0	30.0	10.0	10.0	10.0	20.0	100.0	240.0
how to reduce plastic pollution	20.0	10.0	10.0	20.0	30.0	20.0	30.0	20.0	10.0	20.0	10.0	10.0	10.0	0.0	220.0
how to make plastic bags	20.0	10.0	10.0	10.0	10.0	10.0	10.0	20.0	20.0	40.0	20.0	10.0	20.0	100.0	210.0
plastic in the ocean facts	20.0	10.0	20.0	30.0	40.0	30.0	20.0	10.0	20.0	20.0	20.0	10.0	10.0	0.0	260.0
plastic bag tax	20.0	10.0	10.0	10.0	30.0	10.0	30.0	30.0	10.0	20.0	10.0	10.0	10.0	0.0	210.0
large plastic bags	20.0	20.0	20.0	30.0	20.0	20.0	20.0	20.0	20.0	30.0	10.0	20.0	20.0	0.0	270.0
how to reduce plastic	20.0	20.0	20.0	10.0	20.0	20.0	30.0	20.0	30.0	10.0	10.0	10.0	20.0	0.0	240.0
disposable plastic bags	20.0	10.0	50.0	20.0	10.0	10.0	30.0	20.0	10.0	30.0	10.0	10.0	20.0	100.0	250.0
plastic pollution coalition	20.0	20.0	30.0	10.0	20.0	10.0	10.0	30.0	20.0	20.0	10.0	10.0	10.0	-50.0	220.0
used bags	20.0	30.0	20.0	10.0	10.0	20.0	20.0	10.0	20.0	10.0	10.0	20.0	20.0	-33.0	220.0
plastic environment	20.0	20.0	10.0	20.0	40.0	20.0	40.0	30.0	30.0	30.0	20.0	10.0	20.0	0.0	310.0
lawyer bag	20.0	20.0	20.0	10.0	20.0	10.0	10.0	20.0	20.0	20.0	10.0	10.0	10.0	-50.0	200.0
single use plastic bags	20.0	20.0	20.0	20.0	20.0	10.0	40.0	20.0	40.0	10.0	20.0	10.0	20.0	0.0	270.0
buy plastic bags	20.0	10.0	10.0	10.0	20.0	10.0	20.0	10.0	30.0	40.0	20.0	10.0	10.0	0.0	220.0
plastic packet	20.0	20.0	20.0	20.0	20.0	10.0	20.0	10.0	10.0	10.0	20.0	10.0	30.0	50.0	220.0
plastic baggies	20.0	20.0	20.0	20.0	20.0	20.0	40.0	20.0	20.0	20.0	30.0	10.0	10.0	-50.0	270.0
plastic grocery bags	20.0	10.0	20.0	30.0	20.0	20.0	30.0	10.0	30.0	30.0	20.0	10.0	20.0	100.0	270.0
plastics group	10.0	10.0	10.0	10.0	10.0	10.0	0.0	10.0	0.0	0.0	10.0	10.0	10.0	0.0	100.0
where are plastic bags banned	10.0	0.0	10.0	10.0	10.0	0.0	10.0	0.0	10.0	0.0	0.0	0.0	0.0	-100.0	60.0
states that ban plastic bags	10.0	0.0	0.0	0.0	0.0	10.0	10.0	0.0	10.0	10.0	0.0	0.0	0.0	-100.0	50.0
plastic bag full of plastic bags	10.0	0.0	0.0	0.0	10.0	0.0	10.0	10.0	0.0	0.0	10.0	10.0	10.0	0.0	70.0
paying for plastic bags	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	30.0	10.0	20.0	10.0	10.0	0.0	160.0
plastic california	10.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	-100.0	30.0
california proposition 67	10.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-100.0	20.0
huge plastic bags	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	0.0	130.0
no more plastic bags in grocery stores	10.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	-100.0	20.0
no more plastic	10.0	10.0	10.0	20.0	10.0	10.0	10.0	10.0	10.0	20.0	10.0	10.0	10.0	0.0	150.0
plastic charge	10.0	10.0	10.0	10.0	0.0	10.0	0.0	0.0	10.0	0.0	0.0	10.0	10.0	0.0	80.0
anti plastic bags	10.0	10.0	0.0	10.0	0.0	10.0	10.0	10.0	0.0	0.0	10.0	0.0	10.0	0.0	80.0
plastic pollution organizations	10.0	10.0	10.0	0.0	10.0	0.0	10.0	10.0	0.0	10.0	0.0	10.0	0.0	-100.0	80.0
5p bag charge	10.0	0.0	0.0	10.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	-100.0	40.0
not to use plastic	10.0	0.0	10.0	0.0	0.0	0.0	10.0	0.0	10.0	0.0	10.0	0.0	0.0	-100.0	50.0
get plastic	10.0	10.0	10.0	0.0	10.0	10.0	0.0	10.0	0.0	10.0	10.0	10.0	10.0	0.0	100.0
plastic bag issues	10.0	0.0	10.0	0.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	0.0	110.0
are plastic bags banned in california	10.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-100.0	20.0
charge for plastic bags in stores	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	20.0
plastic coalition	10.0	0.0	0.0	0.0	10.0	10.0	10.0	10.0	10.0	0.0	10.0	0.0	0.0	-100.0	70.0
go plastics	10.0	0.0	10.0	10.0	10.0	0.0	0.0	10.0	10.0	0.0	0.0	0.0	0.0	-100.0	60.0
plastic covers banned	10.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-100.0	20.0
campaign against plastic	10.0	0.0	0.0	10.0	0.0	0.0	10.0	0.0	0.0	10.0	10.0	0.0	10.0	0.0	60.0
bag charger	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	0.0	10.0	0.0	120.0
ngo plastic	10.0	10.0	0.0	10.0	0.0	0.0	10.0	10.0	0.0	0.0	10.0	0.0	10.0	0.0	70.0
bags made from plastic bags	10.0	10.0	0.0	0.0	10.0	0.0	0.0	0.0	10.0	10.0	10.0	0.0	10.0	0.0	70.0
grocery stores charging for plastic bags	10.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	-100.0	20.0
yes bag	10.0	10.0	0.0	10.0	10.0	0.0	10.0	0.0	0.0	0.0	10.0	10.0	0.0	-100.0	70.0
plastic ban california	10.0	0.0	0.0	10.0	10.0	10.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	-100.0	50.0
pledge for plastic	10.0	10.0	0.0	0.0	0.0	0.0	0.0	10.0	10.0	10.0	0.0	10.0	0.0	-100.0	60.0
city bag	10.0	10.0	10.0	10.0	20.0	10.0	20.0	20.0	20.0	10.0	10.0	30.0	20.0	100.0	200.0
uses of bags	10.0	0.0	10.0	10.0	10.0	0.0	0.0	10.0	10.0	10.0	0.0	10.0	10.0	0.0	90.0
plastic free world	10.0	10.0	10.0	10.0	10.0	10.0	10.0	0.0	10.0	10.0	10.0	10.0	10.0	0.0	120.0
plastic store	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	0.0	130.0
prop 65 bags	10.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-100.0	20.0
