,Category,Stage,Avg,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,total
295,Ban SUPs,Consideration,40,30,30,30,30,30,70,40,70,40,50,20,40,520
296,Ban SUPs,Consideration,10,0,0,0,0,0,0,0,0,0,0,0,10,20
297,Ban SUPs,Consideration,10,0,0,0,0,0,10,10,10,10,10,10,0,70
298,Ban SUPs,Consideration,10,0,10,10,10,0,0,0,10,0,0,0,0,50
326,Ban SUPs,Consideration,10,0,0,10,0,0,0,0,0,0,0,0,0,20
388,Ban SUPs,Consideration,10,0,0,0,10,0,10,10,0,0,0,0,0,40
425,Ban SUPs,Consideration,10,10,10,10,10,10,10,10,10,10,10,0,10,120
426,Ban SUPs,Consideration,40,30,30,30,30,30,70,40,70,40,50,20,40,520
470,Ban SUPs,Consideration,10,0,0,0,0,0,0,0,0,10,0,0,0,20
474,Ban SUPs,Consideration,10,0,0,0,0,0,0,10,0,10,10,0,10,50
480,Ban SUPs,Consideration,10,0,0,0,0,0,10,0,0,0,0,0,0,20
481,Ban SUPs,Consideration,10,0,0,0,0,0,10,0,0,0,0,0,0,20
488,Ban SUPs,Consideration,10,0,0,0,0,0,10,10,0,10,0,0,10,50
492,Ban SUPs,Consideration,10,0,0,0,10,0,0,10,10,0,10,0,0,50
300,"Campaigns, slogans, initiatives",Action,10,10,10,10,10,0,10,10,10,10,10,10,10,120
304,"Campaigns, slogans, initiatives",Action,10,0,0,0,0,0,0,10,10,0,10,10,0,50
390,"Campaigns, slogans, initiatives",Action,10,0,0,0,0,0,0,0,10,0,10,0,10,40
391,"Campaigns, slogans, initiatives",Action,10,0,0,0,0,0,0,0,10,0,10,0,10,40
393,"Campaigns, slogans, initiatives",Action,10,0,0,0,0,0,0,0,0,10,10,0,0,30
493,"Campaigns, slogans, initiatives",Action,10,0,0,0,0,0,0,0,10,10,10,0,10,50
291,"Campaigns, slogans, initiatives",Awareness,10,0,0,0,0,0,0,0,0,0,0,0,10,20
365,"Campaigns, slogans, initiatives",Awareness,10,0,0,0,0,0,0,0,10,10,0,0,0,30
1,Facts about SUPs,Awareness,10,0,0,0,0,0,0,10,0,0,0,0,0,20
4,Facts about SUPs,Awareness,10,10,0,0,10,0,0,10,10,10,0,0,0,60
5,Facts about SUPs,Awareness,10,0,0,10,10,0,10,0,0,10,10,0,10,70
9,Facts about SUPs,Awareness,10,0,0,0,10,0,0,10,0,0,0,10,10,50
10,Facts about SUPs,Awareness,10,0,0,10,0,0,10,0,10,10,0,0,10,60
11,Facts about SUPs,Awareness,10,0,0,0,0,0,0,0,0,10,0,0,10,30
13,Facts about SUPs,Awareness,10,10,10,10,10,10,20,10,10,10,10,10,10,140
16,Facts about SUPs,Consideration,10,10,0,0,10,0,10,10,10,10,10,0,0,80
17,Facts about SUPs,Consideration,10,10,10,10,10,10,10,10,10,10,10,10,10,130
18,Facts about SUPs,Consideration,10,10,10,10,10,10,10,10,10,10,10,10,10,130
19,Facts about SUPs,Consideration,10,0,10,10,10,10,0,10,10,10,10,10,10,110
20,Facts about SUPs,Consideration,10,0,0,10,0,10,0,0,0,0,0,0,10,40
21,Facts about SUPs,Action,10,0,0,0,0,0,0,0,0,10,10,10,0,40
24,Facts about SUPs,Consideration,10,10,10,10,0,0,10,0,10,10,0,0,10,80
26,Facts about SUPs,Awareness,10,10,10,10,10,0,10,10,10,10,10,10,10,120
27,Facts about SUPs,Consideration,10,0,0,0,0,0,10,0,0,10,0,0,10,40
29,Facts about SUPs,Consideration,10,0,10,0,10,10,10,10,10,10,10,10,10,110
30,Facts about SUPs,Consideration,10,10,10,0,10,10,10,10,10,0,10,0,10,100
31,Facts about SUPs,Awareness,10,10,10,10,10,10,10,10,10,10,10,10,10,130
33,Facts about SUPs,Awareness,10,0,0,0,0,10,0,0,0,0,0,0,0,20
34,Facts about SUPs,Awareness,10,0,10,0,0,0,0,0,0,0,0,0,0,20
35,Facts about SUPs,Consideration,10,10,0,10,10,10,10,10,10,0,10,0,0,90
36,Facts about SUPs,Consideration,10,0,0,10,0,0,0,0,0,0,0,0,0,20
37,Facts about SUPs,Consideration,10,0,0,0,0,0,0,0,0,10,0,0,10,30
38,Facts about SUPs,Consideration,10,0,0,0,0,0,10,10,0,0,0,10,10,50
39,Facts about SUPs,Consideration,10,10,0,10,10,10,10,10,10,0,10,0,0,90
40,Facts about SUPs,Consideration,10,0,0,0,0,0,10,0,10,10,10,10,10,70
41,Facts about SUPs,Consideration,10,0,0,0,0,0,0,0,0,0,10,0,0,20
42,Facts about SUPs,Consideration,10,10,0,0,0,0,0,0,0,0,0,0,0,20
43,Facts about SUPs,Consideration,10,0,0,0,0,0,0,0,0,10,10,0,0,30
44,Facts about SUPs,Consideration,10,0,0,10,0,0,0,0,0,0,10,10,0,40
45,Facts about SUPs,Consideration,10,10,0,0,0,0,0,0,0,0,0,0,0,20
46,Facts about SUPs,Consideration,10,0,0,0,0,10,0,0,0,0,0,0,0,20
47,Facts about SUPs,Consideration,10,0,0,0,0,0,0,0,0,0,0,0,10,20
48,Facts about SUPs,Awareness,10,0,0,0,0,0,0,0,0,0,10,0,0,20
49,Facts about SUPs,Consideration,10,0,10,10,10,0,10,10,10,10,10,0,10,100
